"eBay Motors","eBay Motors"
"Feedback Synchronization","Bewertungen synchronisieren"
"Task ""3rd Party Listings Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...","Die Aufgabe „Angebote von Drittanbietern synchronisieren“ für das eBay-Konto „%s“ befindet sich im Status Datenverarbeitung. Bitte warten Sie..."
"Task ""Update Listings Products"" for eBay account: ""%s"" is in data processing state. Please wait...","Die Aufgabe „Produkte in Angeboten aktualisieren“ für das eBay-Konto „%s“ befindet sich im Status Datenverarbeitung. Bitte warten Sie..."
"Task ""Update 3rd Party Listings"" for eBay account: ""%s"" is in data processing state. Please wait...","Die Aufgabe „Angebote von Drittanbietern aktualisieren“ für das eBay-Konto „%s“ befindet sich im Status Datenverarbeitung. Bitte warten Sie..."
"Payment Status was updated to Paid on eBay. As Magento Order #%order_id% can have wrong data, it have to be cancelled.","Der Zahlungsstatus wurde bei eBay auf „Bezahlt“ aktualisiert. Magento-Bestellnummer %order_id% wurde storniert, da sie möglicherweise inkorrekte Daten enthält."
"Task ""Orders Cancellation Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...","Die Aufgabe „Bestellungsstornierung synchronisieren“ für das eBay-Konto „%s“ befindet sich im Status Datenverarbeitung. Bitte warten Sie..."
"Attention! Last eBay AUTOMATIC synchronization was performed by cron more than %s hours ago. You should set up cron job, otherwise no automatic synchronization will be performed. <br/>You can check this %sarticle%s to get how to set cron job. The command for cron job for your server environment can be found %shere%s.","Wichtiger Hinweis! Die letzte automatische Synchronisierung mit eBay wurde von cron vor mehr als %s Stunden durchgeführt. Sie sollten einen Cronjob einrichten. Andernfalls wird keine automatische Synchronisierung durchgeführt. <br/>Weitere Informationen zum Thema Einrichten von Cronjobs finden Sie in diesem %sArtikel%. Den Befehl für Cronjobs für Ihre Serverumgebung finden Sie %hier%."
"Please select and update eBay <a href=""%s"" target=""_blank"">marketplaces</a> before adding new General Templates.","Bitte wählen und aktualisieren Sie Ihre eBay-<a href=""%s"" target=""_blank"">Marktplätze</a>, bevor Sie neue allgemeine Vorlagen hinzufügen."
"The ""Categories Synchronization"" action for eBay Site: ""%s"" is in data processing mode. Please wait...","Die Aktion „Kategorien synchronisieren“ für die eBay-Website „%s“ befindet sich im Datenverarbeitungsmodus. Bitte warten Sie..."
"The ""Categories Synchronization"" action for eBay Site: ""%mrk%"" is in data processing mode. Please wait...","Die Aktion „Kategorien synchronisieren“ für die eBay-Website „%mrk%“ befindet sich im Datenverarbeitungsmodus. Bitte warten Sie..."
"An error occured while listing the item. The item has been blocked. The next M2E Synchronization will resolve the problem.","Beim Einstellen des Artikels ist ein Fehler aufgetreten. Der Artikel wurde gesperrt. Dieses Problem wird bei der nächsten M2E-Synchronisierung behoben."
"ID","Artikelnr."
"Text","Text"
"Creation Date","Erstellungsdatum"
"Update Date","Aktualisierungsdatum"
"Edit","Bearbeiten"
"Delete","Löschen"
"Add Template","Vorlage hinzufügen"
"Save","Speichern"
"Update","Aktualisierung"
"Get Token","Token abrufen"
"Synchronization Settings","Synchronisierungseinstellungen"
"Refresh","Aktualisieren"
"Hide","Ausblenden"
"Configuration","Konfiguration"
"General","Allgemeines"
"3rd Party Listings","Angebote von Drittanbietern"
"eBay Store","eBay Shop"
"Orders","Bestellungen"
"Feedback","Bewertungen"
"Edit%s Account","%s-Mitgliedskonto bearbeiten"
"Add%s Account","%s-Mitgliedskonto hinzufügen"
"Save And Close","Speichern und schließen"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Back","Zurück"
"eBay User ID","eBay-Nutzername"
"Add Account","eBay-Konto hinzufügen"
"Category","Kategorie"
"eBay Primary","Hauptkategorie bei eBay"
"eBay Secondary","Zweite Kategorie bei eBay"
"Store Primary","Hauptkategorie des Shops"
"Store Secondary","Zweite Kategorie des Shops"
"Specifics","Merkmale"
"Edit eBay Primary Category","Hauptkategorie bei eBay bearbeiten"
"Title","Artikelbezeichnung"
"Primary","Hauptkategorie"
"Secondary","Zweitkategorie"
"Type","Typ"
"eBay Site","eBay-Website"
"Account","Konto"
"State","Bundesland"
"Active","Aktiv"
"Removed","Entfernt"
"Actions","Aktionen"
"Magento Attribute","Magento-Attribut"
"Any","Beliebig"
"eBay Sites","eBay-Websites"
"Synchronization","Synchronisierung"
"Policies","Rahmenbedingungen"
"Categories In Use","Verwendete Kategorien"
"Account Settings","Kontoeinstellungen"
"Global Settings","Globale Einstellungen"
"Close","Schließen"
"Send","Senden"
"Transaction ID","Transaktionsnummer"
"Item ID","Artikelnummer"
"Item Title","Artikelbezeichnung"
"Buyer Feedback Date","Datum der Käuferbewertung"
"Seller Feedback Date","Datum der Verkäuferbewertung"
"Neutral","Neutral"
"Positive","Positiv"
"Negative","Negativ"
"Unresponded Feedback","Bewertung ohne Antwort"
"Responded Feedback","Bewertung mit Antwort"
"No ID For Auction","Keine ID für Auktion vorhanden"
"N/A","Keine Angabe"
"Buyer","Käufer"
"Seller","Verkäufer"
"Send Response","Antwort senden"
"Feedback for account ""%s""","Bewertung für Konto „%s“"
"Accounts","Konten"
"Creating A New M2E Listing","Neues M2E-Angebot erstellen"
"Show Video Tutorial","Video-Infotour anzeigen"
"Next Step","Nächster Schritt"
"Categories","Kategorien"
"Edit Rule","Regel ändern"
"Delete Rule","Regel löschen"
"Total","Gesamt"
"details","Details"
"Continue","Weiter"
"Add New Rule","Neue Regel hinzufügen"
"Magento Category","Magento-Kategorie"
"eBay Categories","eBay-Kategorien"
"Primary eBay Category Selected","Hauptkategorie bei eBay ausgewählt"
"Primary eBay Category Not Selected","Hauptkategorie bei eBay nicht ausgewählt"
"Edit Primary Category","Hauptkategorie bearbeiten"
"Edit Store Primary Category","Hauptkategorie des Shops bearbeiten"
"Edit Categories","Kategorien bearbeiten"
"Edit Primary Categories","Hauptkategorien bearbeiten"
"Edit Store Primary Categories","Hauptkategorien des Shops bearbeiten"
"eBay Primary Category","Hauptkategorie bei eBay"
"eBay Secondary Category","Zweite Kategorie bei eBay"
"eBay Store Primary Category","Hauptkategorie des eBay Shops"
"eBay Store Secondary Category","Zweite Kategorie des eBay Shops"
"Not Selected","Nicht ausgewählt"
"Magento Attribute -> %s","Magento-Attribut -> %s"
"Done","Fertig"
"Cancel","Abbrechen"
"Set eBay Categories","eBay-Kategorien festlegen"
"Set eBay Categories (Based On Magento Categories)","eBay-Kategorien festlegen (auf der Basis von Magento-Kategorien)"
"Store Primary Category","Hauptkategorie des Shops"
"Store Secondary Category","Zweite Kategorie des Shops"
"Category type is not set.","Kategorietyp nicht festgelegt"
"Recently Used","Zuletzt verwendet"
"Browse","Durchsuchen"
"Search","Finden"
"Set Your eBay Categories","eBay-Kategorien festlegen"
"Product ID","Produkt-ID"
"Product Title","Produktbezeichnung"
"Get Suggested Primary Category","Empfohlene Hauptkategorie abrufen"
"Reset Categories","Kategorien zurücksetzen"
"Remove Item","Artikel entfernen"
"Get Suggested Primary Categories","Empfohlene Hauptkategorien abrufen"
"Remove Item(s)","Artikel entfernen"
"Primary eBay Category","Hauptkategorie bei eBay"
"Secondary eBay Category","Zweite Kategorie bei eBay"
"Primary eBay Store Category","Hauptkategorie des eBay Shops"
"Secondary eBay Store Category","Zweite Kategorie des eBay Shops"
"You have not selected the Primary eBay Category for some products.","Bei einigen Produkten fehlt die Angabe der Hauptkategorie bei eBay."
"Are you sure?","Sind Sie sicher?"
"eBay could not assign categories for %s products.","eBay konnte %s Produkte keinen Kategorien zuordnen."
"Suggested Categories were successfully received for %s product(s).","Für %s Produkt(e) wurden Kategorieempfehlungen empfangen."
"Set eBay Category","eBay-Kategorie festlegen"
"Set eBay Category for Product(s)","eBay-Kategorie für Produkt(e) festlegen"
"Set eBay Primary Category for Product(s)","Hauptkategorie bei eBay für Produkt(e) festlegen"
"eBay Same Categories","Selbe Kategorien bei eBay"
"Yes","Ja"
"No","Nein"
"eBay Categories Specifics","eBay-Kategorien-Merkmale"
"Next Category","Nächste Kategorie"
"Loading. Please wait","Wird geladen Bitte warten"
"Add Custom Specific","Individuelles Merkmal hinzufügen"
"Title / Info","Titel/Info"
"Total Items","Gesamtzahl der Artikel"
"Active Items","Noch eingestellte Artikel"
"Inactive Items","Nicht mehr eingestellte Artikel"
"Sold QTY","Verkaufte Stückzahl"
"Clear Log(s)","Protokoll(e) löschen"
"Delete Listing(s)","Angebot(e) löschen"
"Admin (Default Values)","Admin (Standardwerte)"
"Magento Store View","Magento-Shop-Ansicht"
"Manage Products","Produkte verwalten"
"Add Products from Products List","Produkte aus Produktliste hinzufügen"
"Add Products from Categories","Produkte aus Kategorien hinzufügen"
"Automatic Actions","Automatische Aktionen"
"View Logs","Protokolle anzeigen"
"Delete Listing","Angebot löschen"
"Edit Listing Title","Artikelbezeichnung bearbeiten"
"Edit Listing Settings","Angebotseinstellungen bearbeiten"
"&nbsp;- Payment And Shipping","&nbsp;- Zahlung und Versand"
"&nbsp;- Selling","&nbsp;- Verkaufen"
"&nbsp;- Synchronization","&nbsp;- Synchronisierung"
"Log For%s Listing","Protokoll für%s-Angebot"
"Show General Log","Allgemeines Protokoll anzeigen"
"Listings were not found.","Angebote wurden nicht gefunden."
"eBay Item ID","eBay-Artikelnummer"
"Product Name","Produktbezeichnung"
"Action","Aktion"
"Description","Beschreibung"
"Run Mode","Ausführungsmodus"
"Priority","Priorität"
"Log For%s 3rd Party Listing","Protokoll für%s Angebot von Drittanbietern"
"Source","Quelle"
"Revise Rules","Regeln für das Überarbeiten"
"Relist Rules","Regeln für das Wiedereinstellen"
"Stop Rules","Regeln für das Anhalten"
"Edit%s 3rd Party Synchronization Settings","Einstellungen für die Synchronisierung von %s-Drittanbietern bearbeiten"
