"eBay Motors","eBay Motor"
"Feedback Synchronization","Sincronización de votos"
"Task ""3rd Party Listings Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...","La tarea ""Sincronización de anuncios externos"" de la cuenta de eBay ""%s"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
"Task ""Update Listings Products"" for eBay account: ""%s"" is in data processing state. Please wait...","La tarea ""Actualizar productos de anuncios"" de la cuenta de eBay ""%s"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
"Task ""Update 3rd Party Listings"" for eBay account: ""%s"" is in data processing state. Please wait...","La tarea ""Actualizar anuncios externos"" de la cuenta de eBay ""%s"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
"Payment Status was updated to Paid on eBay. As Magento Order #%order_id% can have wrong data, it have to be cancelled.","El estado del pago se ha actualizado a Pagado en eBay. Como el pedido de Magento #%order_id% puede contener datos erróneos, se ha tenido que cancelar."
"Task ""Orders Cancellation Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...","La tarea ""Sincronización de cancelación de pedidos"" de la cuenta de eBay ""%s"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
"Attention! Last eBay AUTOMATIC synchronization was performed by cron more than %s hours ago. You should set up cron job, otherwise no automatic synchronization will be performed. <br/>You can check this %sarticle%s to get how to set cron job. The command for cron job for your server environment can be found %shere%s.","¡Atención! La última sincronización AUTOMÁTICA de eBay la realizó cron hace más de %s horas. Debes configurar el trabajo de cron; de lo contrario, no se realizará ninguna actualización automática. <br/>Puedes consultar este %sartículo%s para obtener información sobre cómo configurar un trabajo de cron. El comando del trabajo de cron para tu entorno de servidor se puede encontrar %saquí%s."
"Please select and update eBay <a href=""%s"" target=""_blank"">marketplaces</a> before adding new General Templates.","Selecciona y actualiza los <a href=""%s"" target=""_blank"">mercados</a> de eBay antes de añadir nuevas plantillas generales."
"The ""Categories Synchronization"" action for eBay Site: ""%s"" is in data processing mode. Please wait...","La acción ""Sincronización de categorías"" del sitio de eBay ""%s"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
"The ""Categories Synchronization"" action for eBay Site: ""%mrk%"" is in data processing mode. Please wait...","La acción ""Sincronización de categorías"" del sitio de eBay ""%mrk%"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
"An error occured while listing the item. The item has been blocked. The next M2E Synchronization will resolve the problem.","Se ha producido un error al poner en venta el artículo. El artículo se ha bloqueado. El problema se resolverá en la próxima sincronización de M2E."
"ID","Identificador"
"Text","Texto"
"Creation Date","Fecha de creación"
"Update Date","Fecha de actualización"
"Edit","Modificar"
"Delete","Eliminar"
"Add Template","Añade una plantilla"
"Save","Guardar"
"Update","Actualizar"
"Get Token","Obtener código personal"
"Synchronization Settings","Configuración de sincronización"
"Refresh","Actualizar"
"Hide"," Ocultar "
"Configuration","Configuración"
"General","General"
"3rd Party Listings","Anuncios externos"
"eBay Store","Tienda eBay"
"Orders","Pedidos"
"Feedback","Votos"
"Edit%s Account","Modificar%s cuenta"
"Add%s Account","Añadir%s cuenta"
"Save And Close","Guardar y cerrar"
"Save And Continue Edit","Guardar y continuar modificación"
"Back","Atrás"
"eBay User ID","Seudónimo de eBay"
"Add Account","Añadir cuenta"
"Category","Categoría"
"eBay Primary","Cuenta principal de eBay "
"eBay Secondary","Cuenta secundaria de eBay "
"Store Primary","Tienda principal"
"Store Secondary","Tienda secundaria"
"Specifics","Características"
"Edit eBay Primary Category","Modificar categoría principal de eBay"
"Title","Título"
"Primary","Primera"
"Secondary","Segunda"
"Type","Tipo"
"eBay Site","Página de eBay"
"Account","Cuenta"
"State","Provincia"
"Active","Activos"
"Removed","Eliminado"
"Actions","Acciones"
"Magento Attribute","Atributo de Magento"
"Any","Cualquiera"
"eBay Sites","Sitios de eBay"
"Synchronization","Sincronización"
"Policies","Políticas"
"Categories In Use","Categorías en uso"
"Account Settings","Configuración de la cuenta"
"Global Settings","Configuración global"
"Close","Cerrar"
"Send","Enviar"
"Transaction ID","Identificador de transacción"
"Item ID","Número de artículo"
"Item Title","Título del artículo"
"Buyer Feedback Date","Fecha de voto del comprador"
"Seller Feedback Date","Fecha de voto del vendedor"
"Neutral","Neutral"
"Positive","Positivo"
"Negative","Negativo"
"Unresponded Feedback","Votos sin responder"
"Responded Feedback","Votos respondidos"
"No ID For Auction","Sin identificador de subasta"
"N/A","N/D"
"Buyer","Comprador"
"Seller","Vendedor"
