"eBay Motors","eBay Auto"
"Feedback Synchronization","Synchronisation des évaluations"
"Task ""3rd Party Listings Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...","La tâche « Synchronisation des annonces tierces » pour le compte eBay « %s » est en cours de traitement. Veuillez patienter..."
"Task ""Update Listings Products"" for eBay account: ""%s"" is in data processing state. Please wait...","La tâche « Mise à jour des produits des annonces » pour le compte eBay « %s » est en cours de traitement. Veuillez patienter..."
"Task ""Update 3rd Party Listings"" for eBay account: ""%s"" is in data processing state. Please wait...","La tâche « Mise à jour des annonces tierces » pour le compte eBay « %s » est en cours de traitement. Veuillez patienter..."
"Payment Status was updated to Paid on eBay. As Magento Order #%order_id% can have wrong data, it have to be cancelled.","Le statut du paiement a été remplacé par Payé sur eBay. La commande Magento n° %order_id% doit être annulée, car elle contient peut-être des données erronées."
"Task ""Orders Cancellation Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...","La tâche « Synchronisation de l'annulation des commandes » pour le compte eBay « %s » est en cours de traitement. Veuillez patienter..."
"Attention! Last eBay AUTOMATIC synchronization was performed by cron more than %s hours ago. You should set up cron job, otherwise no automatic synchronization will be performed. <br/>You can check this %sarticle%s to get how to set cron job. The command for cron job for your server environment can be found %shere%s.","Attention ! La dernière synchronisation automatique d'eBay effectuée par cron remonte à plus de %s heures. Vous devez configurer la tâche cron. A défaut, aucune synchronisation automatique ne sera effectuée. <br/>Vous pouvez consulter cet %sarticle%s pour en savoir plus sur la configuration de la tâche cron. La commande de tâche cron pour votre environnement serveur se trouve %sici%s."
"Please select and update eBay <a href=""%s"" target=""_blank"">marketplaces</a> before adding new General Templates.","Veuillez sélectionner des <a href=""%s"" target=""_blank"">places de marché</a> eBay et les modifier avant d'ajouter de nouveaux modèles Général."
"The ""Categories Synchronization"" action for eBay Site: ""%s"" is in data processing mode. Please wait...","La tâche « Synchronisation des catégories » pour le site eBay « %s » est en cours de traitement. Veuillez patienter..."
"The ""Categories Synchronization"" action for eBay Site: ""%mrk%"" is in data processing mode. Please wait...","La tâche « Synchronisation des catégories » pour le site eBay « %mrk% » est en cours de traitement. Veuillez patienter..."
"An error occured while listing the item. The item has been blocked. The next M2E Synchronization will resolve the problem.","Une erreur est survenue lors de la mise en vente de l'objet. L'annonce a été bloquée. Le problème sera résolu lors de la prochaine synchronisation M2E."
"ID","Identifiant"
"Text","Texte"
"Creation Date","Date de création"
"Update Date","Date de mise à jour"
"Edit","Modifier"
"Delete","Supprimer"
"Add Template","Ajouter le modèle"
"Save","Enregistrer"
"Update","Nouveauté"
"Get Token","Obtenir un code"
"Synchronization Settings","Paramètres de synchronisation"
"Refresh","Actualiser"
"Hide","Masquer"
"Configuration","Configuration"
"General","Général"
"3rd Party Listings","Annonces tierces"
"eBay Store","Boutique eBay"
"Orders","Commandes"
"Feedback","Evaluation"
"Edit%s Account","Modifier%s le compte"
"Add%s Account","Ajouter%s un compte"
"Save And Close","Enregistrer et fermer"
"Save And Continue Edit","Enregistrer et continuer les modifications"
"Back","Précédente"
"eBay User ID","Pseudo eBay"
"Add Account","Ajouter un compte"
"Category","Catégorie"
"eBay Primary","Principale eBay"
"eBay Secondary","Secondaire eBay"
"Store Primary","Principale de la Boutique"
"Store Secondary","Secondaire de la Boutique"
"Specifics","Caractéristiques"
"Edit eBay Primary Category","Modifier la catégorie principale eBay"
"Title","Titre"
"Primary","Elémentaire"
"Secondary","Secondaire"
"Type","Type"
"eBay Site","Site eBay"
"Account","Compte"
"State","Etat"
"Active","En cours"
"Removed","Retiré"
"Actions","Actions"
"Magento Attribute","Attribut Magento"
"Any","Tout"
"eBay Sites","Sites eBay"
"Synchronization","Synchronisation"
"Policies","Règlements"
"Categories In Use","Catégories utilisées"
"Account Settings","Paramètres du compte"
"Global Settings","Paramètres généraux"
"Close","Fermer"
"Send","Envoyer"
"Transaction ID","Numéro de la transaction"
"Item ID","Numéro de l'objet"
"Item Title","Titre de l'objet "
"Buyer Feedback Date","Date de l'évaluation de l'acheteur"
"Seller Feedback Date","Date de l'évaluation du vendeur"
"Neutral","Neutre"
"Positive","Positive"
"Negative","Négative"
"Unresponded Feedback","Evaluations sans réponse"
"Responded Feedback","Evaluations avec réponse"
"No ID For Auction","Aucun pseudo pour les Enchères"
"N/A","S.O."
"Buyer","Acheteur"
"Seller","Vendeur"
"Send Response","Envoyer la réponse"
"Feedback for account ""%s"","Evaluations pour le compte « %s »"
"Accounts","Comptes"
"Creating A New M2E Listing","Création d'une nouvelle annonce M2E"
"Show Video Tutorial","Afficher le didacticiel vidéo"
"Next Step","Etape suivante"
"Categories","Catégories"
"Edit Rule","Modifier la règle"
"Delete Rule","Supprimer la règle"
"Total","Total"
"details","détails"
"Continue","Continuer"
"Add New Rule","Ajouter une nouvelle règle"
"Magento Category","Catégorie Magento"
"eBay Categories","Catégories eBay"
"Primary eBay Category Selected","Catégorie principale eBay sélectionnée"
"Primary eBay Category Not Selected","Catégorie principale eBay non sélectionnée"
"Edit Primary Category","Modifier la catégorie principale"
"Edit Store Primary Category","Modifier la catégorie principale de la Boutique"
"Edit Categories","Modifier les catégories"
