"eBay Motors","eBay Motori"
"Feedback Synchronization","Sincronizzazione Feedback"
"Task ""3rd Party Listings Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...","L'attività ""Sincronizzazione inserzioni di terze parti"" per l'account eBay: ""%s"" è in stato di elaborazione dati. Attendi..."
"Task ""Update Listings Products"" for eBay account: ""%s"" is in data processing state. Please wait...","L'attività ""Aggiorna prodotti delle inserzioni"" per l'account eBay: ""%s"" è in stato di elaborazione dati. Attendi..."
"Task ""Update 3rd Party Listings"" for eBay account: ""%s"" is in data processing state. Please wait...","L'attività ""Aggiorna inserzioni di terze parti"" per l'account eBay: ""%s"" è in stato di elaborazione dati. Attendi..."
"Payment Status was updated to Paid on eBay. As Magento Order #%order_id% can have wrong data, it have to be cancelled.","Stato del pagamento aggiornato in Pagato su eBay. Poiché l'ordine Magento #%order_id% può avere dati errati, deve essere annullato."
"Task ""Orders Cancellation Synchronization"" for eBay account: ""%s"" is in data processing state. Please wait...","L'attività ""Sincronizzazione annullamento ordini"" per l'account eBay: ""%s"" è in stato di elaborazione dati. Attendi..."
"Attention! Last eBay AUTOMATIC synchronization was performed by cron more than %s hours ago. You should set up cron job, otherwise no automatic synchronization will be performed. <br/>You can check this %sarticle%s to get how to set cron job. The command for cron job for your server environment can be found %shere%s.","Attenzione L'ultima sincronizzazione AUTOMATICA eBay è stata eseguita da Cron più di %s ore fa. Devi impostare il processo Cron, altrimenti non verrà eseguita alcuna sincronizzazione automatica. <br/>Per istruzioni su come impostare un processo Cron, puoi consultare questo %articolo%s. Il comando per il processo Cron per il tuo ambiente di server è disponibile %squi%s."
"Please select and update eBay <a href=""%s"" target=""_blank"">marketplaces</a> before adding new General Templates.","Seleziona e aggiorna i <a href=""%s"" target=""_blank"">mercati</a> di eBay prima di aggiungere nuovi Modelli generali."
"The ""Categories Synchronization"" action for eBay Site: ""%s"" is in data processing mode. Please wait...","L'azione ""Sincronizzazione categorie"" per il sito eBay: ""%s"" è in modalità di elaborazione dati. Attendi..."
"The ""Categories Synchronization"" action for eBay Site: ""%mrk%"" is in data processing mode. Please wait...","L'azione ""Sincronizzazione categorie"" per il sito eBay: ""%mrk%"" è in modalità di elaborazione dati. Attendi..."
"An error occured while listing the item. The item has been blocked. The next M2E Synchronization will resolve the problem.","Si è verificato un errore durante la messa in vendita dell'oggetto. L'oggetto è stato bloccato. Questo problema verrà risolto alla prossima sincronizzazione di M2E."
"ID","ID"
"Text","Testo"
"Creation Date","Data di creazione"
"Update Date","Data di aggiornamento"
"Edit","Modifica"
"Delete","Elimina"
"Add Template","Aggiungi un modello"
"Save","Salva"
"Update","Aggiornamento"
"Get Token","Codice temporaneo"
"Synchronization Settings","Impostazioni sincronizzazione"
"Refresh","Aggiorna"
"Hide","Nascondi"
"Configuration","Configurazione"
"General","Generale"
"3rd Party Listings","Inserzioni di terze parti"
"eBay Store","Negozio eBay"
"Orders","Ordini"
"Feedback","Feedback"
"Edit%s Account","Modifica%s account"
"Add%s Account","Aggiungi%s account"
"Save And Close","Salva e chiudi"
"Save And Continue Edit","Salva e continua la modifica"
"Back","Indietro"
"eBay User ID","ID utente"
"Add Account","Aggiungi account"
"Category","Categoria"
"eBay Primary","eBay principale"
"eBay Secondary","eBay secondaria"
